language,phrase,date,count,share,period,from_date,to_date,devices
Ada,ada tutorial,2020-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2020-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2020-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2020-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2020-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2020-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2020-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2020-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2021-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2021-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2021-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2021-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2021-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2021-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2021-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2021-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2021-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2021-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2021-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2021-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2022-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2022-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2022-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2022-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2022-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2022-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2022-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2022-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2022-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2022-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2022-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2022-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2023-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
